9.983330 	10.933330
Ete nigeria
7.99 7.58
Danja nigeria
Kankara nigeria
Amagunze nigeria
Alapa nigeria
5.3 6.05
Kura nigeria
Tsafe nigeria
Orlu nigeria
Birniwa nigeria
Shinkafi nigeria
Ejirin nigeria
Holma nigeria
Wuyo nigeria
Ifaki nigeria
Ogurugu nigeria
Kwatarkwashi nigeria
Mahuta nigeria
Dambatta nigeria
Baissa nigeria
Musawa nigeria
Mberubu nigeria
Ruma nigeria
Igabi nigeria
Rabah nigeria
Imeko nigeria
Bokani nigeria
Agbabu nigeria
Auna nigeria
Ochobo nigeria
Orodo nigeria
Owode nigeria
Kibiya nigeria
Hunkuyi nigeria
Bomadi nigeria
11.28 5.93
Umunede nigeria
Badeggi nigeria
11.36 10.67
Isara nigeria
Adoru nigeria
Kwolla nigeria
Wasagu nigeria
Ngurore nigeria
Samamiya nigeria
Duku nigeria
Suya nigeria
Siluko nigeria
11.53 8.15
Mashi nigeria
Hinna nigeria
Iho nigeria
Yandev nigeria
Konkwesso nigeria
Ilare nigeria
Ifon nigeria
Dan Sadau nigeria
Kuta nigeria
Mando nigeria
